num,fundCode,fundName,fundLink,trendLink,baLink,netValue,netDate,m1,m3,m6,y1,y2,y3,thisyear,setup,discount,ratefee,buy,buyLink,dtLink
15,002045,国泰生益混合C,https://jingzhifunds.hexun.com/002045.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=002045,"https://jijinba.hexun.com/002045,jijinba.html",1.7098,05-04,0.05%,35.09%,32.83%,48.36%,69.79%,--,33.99%,71.15%,--,--,0,,
16,003372,招商招轩纯债债券C,https://jingzhifunds.hexun.com/003372.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=003372,"https://jijinba.hexun.com/003372,jijinba.html",1.4188,10-19,35.25%,35.00%,33.57%,36.70%,42.14%,48.69%,35.78%,53.70%,--,--,0,,
17,161223,国投创业指数分级,https://jingzhifunds.hexun.com/161223.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=161223,"https://jijinba.hexun.com/161223,jijinba.html",1.7140,06-24,18.13%,34.75%,39.36%,67.39%,29.11%,-2.46%,36.31%,-25.71%,--,0.50%,3,https://emall.licaike.com/fund/purchase/FirstLoad.action?fundCode=161223&knownChannel=hexun_jjjz_goumai,
18,002538,招商丰嘉混合A,https://jingzhifunds.hexun.com/002538.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=002538,"https://jijinba.hexun.com/002538,jijinba.html",1.3220,05-15,5.93%,32.60%,30.50%,35.57%,--,--,30.89%,38.96%,--,--,0,,
19,005899,国投品牌优势混合,https://jingzhifunds.hexun.com/005899.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=005899,"https://jijinba.hexun.com/005899,jijinba.html",1.5569,07-22,12.93%,31.16%,27.59%,44.20%,--,--,27.27%,55.69%,--,--,0,,
20,160808,长盛同瑞中证200,https://jingzhifunds.hexun.com/160808.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=160808,"https://jijinba.hexun.com/160808,jijinba.html",1.2320,08-18,6.02%,30.92%,26.62%,49.44%,59.41%,24.80%,33.44%,48.73%,4折,0.60%,1,https://emall.licaike.com/fund/purchase/FirstLoad.action?fundCode=160808&knownChannel=hexun_jjjz_goumai,https://emall.licaike.com/fund/fundplan/InitAdd.action?fundCode=160808&knownChannel=hexun_jjjz_dinggou
21,005376,北信瑞丰华丰混合,https://jingzhifunds.hexun.com/005376.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=005376,"https://jijinba.hexun.com/005376,jijinba.html",1.9218,01-26,0.27%,30.48%,33.52%,32.79%,73.12%,106.31%,0.04%,109.63%,--,--,0,,
22,001647,天弘聚利混合,https://jingzhifunds.hexun.com/001647.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=001647,"https://jijinba.hexun.com/001647,jijinba.html",1.3722,01-11,29.47%,29.51%,29.87%,36.54%,--,--,29.43%,37.22%,--,--,0,,
23,160640,鹏华新能源指数分级,https://jingzhifunds.hexun.com/160640.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=160640,"https://jijinba.hexun.com/160640,jijinba.html",1.5190,07-07,18.39%,29.39%,24.20%,41.67%,48.27%,14.10%,30.39%,-38.51%,5折,0.60%,1,https://emall.licaike.com/fund/purchase/FirstLoad.action?fundCode=160640&knownChannel=hexun_jjjz_goumai,https://emall.licaike.com/fund/fundplan/InitAdd.action?fundCode=160640&knownChannel=hexun_jjjz_dinggou
24,005984,兴业聚华混合A,https://jingzhifunds.hexun.com/005984.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=005984,"https://jijinba.hexun.com/005984,jijinba.html",1.2892,01-26,28.92%,28.92%,28.92%,28.92%,--,--,-1.13%,28.92%,--,--,0,,
25,003738,新华华瑞灵活配置,https://jingzhifunds.hexun.com/003738.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=003738,"https://jijinba.hexun.com/003738,jijinba.html",1.4609,03-06,29.41%,28.39%,28.82%,27.03%,44.91%,--,29.56%,46.09%,--,--,0,,
26,161825,银华中证800等权重,https://jingzhifunds.hexun.com/161825.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=161825,"https://jijinba.hexun.com/161825,jijinba.html",0.8660,04-15,4.97%,27.73%,29.23%,-4.08%,-9.38%,-8.31%,32.82%,36.96%,--,--,0,,
27,001465,国金鑫运混合,https://jingzhifunds.hexun.com/001465.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=001465,"https://jijinba.hexun.com/001465,jijinba.html",1.6590,01-04,33.68%,27.62%,67.07%,--,--,--,13.32%,65.90%,--,--,0,,
28,004611,民生加银鑫信债券C,https://jingzhifunds.hexun.com/004611.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=004611,"https://jijinba.hexun.com/004611,jijinba.html",1.3234,12-28,12.86%,27.59%,--,--,--,--,--,32.34%,--,--,0,,
29,005985,兴业聚华混合C,https://jingzhifunds.hexun.com/005985.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=005985,"https://jijinba.hexun.com/005985,jijinba.html",1.2750,01-26,27.50%,27.50%,27.50%,27.50%,--,--,-1.16%,27.50%,--,--,0,,
30,002539,招商丰嘉混合C,https://jingzhifunds.hexun.com/002539.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=002539,"https://jijinba.hexun.com/002539,jijinba.html",1.2660,05-15,5.85%,27.36%,25.22%,29.96%,--,--,25.59%,32.96%,--,--,0,,
31,008534,惠升惠兴混合C,https://jingzhifunds.hexun.com/008534.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=008534,"https://jijinba.hexun.com/008534,jijinba.html",1.2688,01-26,26.88%,26.88%,26.88%,26.88%,--,--,26.88%,26.88%,--,--,0,,
32,004649,国开泰富开航混合,https://jingzhifunds.hexun.com/004649.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=004649,"https://jijinba.hexun.com/004649,jijinba.html",1.2978,08-21,0.00%,26.73%,9.06%,36.41%,40.84%,28.71%,29.06%,29.84%,--,--,0,,
33,008533,惠升惠兴混合A,https://jingzhifunds.hexun.com/008533.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=008533,"https://jijinba.hexun.com/008533,jijinba.html",1.2660,01-26,26.60%,26.60%,26.60%,26.60%,--,--,26.60%,26.60%,--,--,0,,
34,003420,德邦群利债券A,https://jingzhifunds.hexun.com/003420.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=003420,"https://jijinba.hexun.com/003420,jijinba.html",2.6327,04-13,0.00%,25.18%,158.11%,162.46%,--,--,25.07%,163.03%,--,--,0,,
35,003421,德邦群利债券C,https://jingzhifunds.hexun.com/003421.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=003421,"https://jijinba.hexun.com/003421,jijinba.html",2.6287,04-13,0.00%,25.16%,158.35%,162.14%,--,--,25.03%,162.66%,--,--,0,,
36,006236,华泰柏瑞现代混合,https://jingzhifunds.hexun.com/006236.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=006236,"https://jijinba.hexun.com/006236,jijinba.html",1.7873,07-08,10.79%,24.92%,29.64%,43.38%,--,--,30.90%,78.73%,--,--,0,,
37,519057,海富通双福分级A,https://jingzhifunds.hexun.com/519057.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=519057,"https://jijinba.hexun.com/519057,jijinba.html",1.0190,06-04,23.87%,24.73%,25.85%,28.27%,33.17%,38.12%,25.47%,45.51%,--,--,2,,
38,502005,易方达军工指数分级B,https://jingzhifunds.hexun.com/502005.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=502005,"https://jijinba.hexun.com/502005,jijinba.html",1.7797,12-30,15.10%,24.66%,106.43%,153.73%,270.77%,29.50%,153.13%,-78.89%,--,--,0,,
39,161207,瑞和300,https://jingzhifunds.hexun.com/161207.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=161207,"https://jijinba.hexun.com/161207,jijinba.html",1.2670,08-27,4.45%,24.09%,17.53%,30.14%,55.53%,46.83%,19.87%,85.68%,5折,0.60%,1,https://emall.licaike.com/fund/purchase/FirstLoad.action?fundCode=161207&knownChannel=hexun_jjjz_goumai,https://emall.licaike.com/fund/fundplan/InitAdd.action?fundCode=161207&knownChannel=hexun_jjjz_dinggou
40,168202,中融白酒指数分级,https://jingzhifunds.hexun.com/168202.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=168202,"https://jijinba.hexun.com/168202,jijinba.html",1.1700,05-06,5.50%,23.94%,9.24%,--,--,--,8.33%,17.00%,--,--,0,,
41,502015,长盛一带一路分级B,https://jingzhifunds.hexun.com/502015.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=502015,"https://jijinba.hexun.com/502015,jijinba.html",1.7960,12-30,5.77%,23.69%,54.70%,40.96%,82.11%,-38.56%,38.35%,-91.79%,--,--,0,,
42,005033,银华智能汽车股票A,https://jingzhifunds.hexun.com/005033.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=005033,"https://jijinba.hexun.com/005033,jijinba.html",1.1230,09-23,4.95%,22.87%,45.83%,51.23%,59.95%,12.34%,35.91%,12.30%,--,--,0,,
43,005034,银华智能汽车股票C,https://jingzhifunds.hexun.com/005034.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=005034,"https://jijinba.hexun.com/005034,jijinba.html",1.1201,09-23,4.92%,22.75%,45.54%,50.69%,59.74%,12.07%,35.52%,12.01%,--,--,0,,
44,003620,招商睿乾混合,https://jingzhifunds.hexun.com/003620.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=003620,"https://jijinba.hexun.com/003620,jijinba.html",1.2274,10-24,0.10%,22.73%,--,--,--,--,--,22.72%,--,--,0,,
45,005806,华泰国企整合精选混合,https://jingzhifunds.hexun.com/005806.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=005806,"https://jijinba.hexun.com/005806,jijinba.html",1.2220,07-08,20.54%,22.68%,7.45%,13.80%,21.69%,--,8.05%,22.20%,--,--,0,,
46,006164,融通通捷债券,https://jingzhifunds.hexun.com/006164.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=006164,"https://jijinba.hexun.com/006164,jijinba.html",1.2322,07-08,5.40%,22.33%,15.21%,16.03%,24.70%,--,15.52%,24.70%,--,--,0,,
47,502002,西部利得500等权重,https://jingzhifunds.hexun.com/502002.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=502002,"https://jijinba.hexun.com/502002,jijinba.html",0.9907,02-14,-6.41%,21.89%,37.14%,75.92%,16.92%,-0.62%,1.87%,-83.92%,--,--,0,,
48,206005,上证民企50ETF联,https://jingzhifunds.hexun.com/206005.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=206005,"https://jijinba.hexun.com/206005,jijinba.html",1.7910,06-23,9.54%,21.01%,20.52%,27.93%,28.66%,29.50%,16.37%,79.10%,4折,0.60%,1,https://emall.licaike.com/fund/purchase/FirstLoad.action?fundCode=206005&knownChannel=hexun_jjjz_goumai,https://emall.licaike.com/fund/fundplan/InitAdd.action?fundCode=206005&knownChannel=hexun_jjjz_dinggou
49,000455,国金鑫利分级B,https://jingzhifunds.hexun.com/000455.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=000455,"https://jijinba.hexun.com/000455,jijinba.html",1.1020,05-26,28.44%,20.70%,10.44%,25.18%,--,--,11.59%,28.44%,--,--,0,,
50,003064,南方荣欢混合,https://jingzhifunds.hexun.com/003064.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=003064,"https://jijinba.hexun.com/003064,jijinba.html",1.5620,06-04,1.56%,20.62%,17.36%,31.81%,43.83%,53.59%,17.71%,56.20%,--,--,0,,
51,004777,国都消费升级混合,https://jingzhifunds.hexun.com/004777.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=004777,"https://jijinba.hexun.com/004777,jijinba.html",0.9724,07-03,10.79%,20.29%,16.37%,34.11%,15.55%,--,15.84%,-2.72%,--,--,0,,
52,502008,易方达国企改革分级B,https://jingzhifunds.hexun.com/502008.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=502008,"https://jijinba.hexun.com/502008,jijinba.html",1.9276,12-30,5.07%,20.21%,56.54%,72.70%,219.72%,67.61%,71.47%,-71.33%,--,--,0,,
53,005585,银河文体娱乐混合,https://jingzhifunds.hexun.com/005585.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=005585,"https://jijinba.hexun.com/005585,jijinba.html",1.6694,01-26,-6.21%,19.66%,20.00%,15.09%,13.56%,71.94%,-9.86%,66.94%,--,--,0,,
54,002713,广发转型升级混合,https://jingzhifunds.hexun.com/002713.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=002713,"https://jijinba.hexun.com/002713,jijinba.html",0.8226,07-09,13.01%,19.51%,10.51%,21.92%,1.43%,--,11.31%,-17.74%,--,--,0,,
55,512310,南方中证500工业指,https://jingzhifunds.hexun.com/512310.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=512310,"https://jijinba.hexun.com/512310,jijinba.html",0.7596,01-07,11.69%,19.45%,24.16%,47.07%,77.27%,13.42%,5.18%,-24.04%,--,--,0,,
56,164819,工银瑞信环保,https://jingzhifunds.hexun.com/164819.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=164819,"https://jijinba.hexun.com/164819,jijinba.html",0.8394,07-28,8.76%,19.35%,7.81%,18.39%,4.22%,-19.40%,12.26%,-38.85%,6折,0.60%,1,https://emall.licaike.com/fund/purchase/FirstLoad.action?fundCode=164819&knownChannel=hexun_jjjz_goumai,https://emall.licaike.com/fund/fundplan/InitAdd.action?fundCode=164819&knownChannel=hexun_jjjz_dinggou
57,003801,华安新安平混合A,https://jingzhifunds.hexun.com/003801.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=003801,"https://jijinba.hexun.com/003801,jijinba.html",1.2991,09-18,0.76%,19.13%,20.35%,23.95%,--,--,22.94%,29.88%,--,--,0,,
58,502042,长盛上证50指数分级,https://jingzhifunds.hexun.com/502042.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=502042,"https://jijinba.hexun.com/502042,jijinba.html",1.2220,12-03,20.39%,19.00%,67.12%,77.40%,157.43%,104.58%,62.90%,171.08%,--,--,0,,
59,001573,南方互联网+混合,https://jingzhifunds.hexun.com/001573.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=001573,"https://jijinba.hexun.com/001573,jijinba.html",1.9670,08-03,8.73%,18.49%,11.70%,17.50%,133.05%,149.48%,17.93%,130.02%,--,--,0,,
60,502050,易方达上证50指数B,https://jingzhifunds.hexun.com/502050.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=502050,"https://jijinba.hexun.com/502050,jijinba.html",1.4871,12-30,4.86%,18.34%,51.36%,49.14%,189.37%,64.13%,49.16%,-29.99%,--,--,0,,
61,007683,华商精选债券A,https://jingzhifunds.hexun.com/007683.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=007683,"https://jijinba.hexun.com/007683,jijinba.html",1.1811,01-26,18.11%,18.11%,18.11%,18.11%,--,--,18.11%,18.11%,--,--,0,,
62,002306,银华合利债券,https://jingzhifunds.hexun.com/002306.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=002306,"https://jijinba.hexun.com/002306,jijinba.html",1.2030,04-12,10.06%,17.83%,18.99%,16.12%,18.52%,20.30%,18.29%,20.30%,--,--,0,,
63,002951,华安丰利18个月债券,https://jingzhifunds.hexun.com/002951.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=002951,"https://jijinba.hexun.com/002951,jijinba.html",1.1812,06-22,16.88%,17.68%,--,--,--,--,--,18.12%,--,--,0,,
64,007423,西部利得聚禾混合A,https://jingzhifunds.hexun.com/007423.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=007423,"https://jijinba.hexun.com/007423,jijinba.html",1.1767,01-26,17.67%,17.67%,17.67%,17.67%,--,--,-0.01%,17.67%,--,--,0,,
65,007684,华商精选债券C,https://jingzhifunds.hexun.com/007684.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=007684,"https://jijinba.hexun.com/007684,jijinba.html",1.1765,01-26,17.65%,17.65%,17.65%,17.65%,--,--,17.65%,17.65%,--,--,0,,
66,006643,华泰柏瑞核心优势混合,https://jingzhifunds.hexun.com/006643.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=006643,"https://jijinba.hexun.com/006643,jijinba.html",1.2528,07-08,9.38%,17.58%,16.18%,27.56%,--,--,17.07%,14.87%,--,--,0,,
67,007424,西部利得聚禾混合C,https://jingzhifunds.hexun.com/007424.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=007424,"https://jijinba.hexun.com/007424,jijinba.html",1.1750,01-26,17.50%,17.50%,17.50%,17.50%,--,--,-0.01%,17.50%,--,--,0,,
68,510070,上证民企50ETF,https://jingzhifunds.hexun.com/510070.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=510070,"https://jijinba.hexun.com/510070,jijinba.html",2.1690,06-29,10.21%,17.24%,20.17%,30.19%,31.14%,28.72%,17.88%,85.91%,--,--,0,,
69,005563,创金合信国证A,https://jingzhifunds.hexun.com/005563.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=005563,"https://jijinba.hexun.com/005563,jijinba.html",1.1269,07-01,7.65%,17.03%,9.29%,14.31%,25.43%,--,9.29%,12.69%,--,--,0,,
70,005564,创金合信国证C,https://jingzhifunds.hexun.com/005564.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=005564,"https://jijinba.hexun.com/005564,jijinba.html",1.1217,07-01,7.64%,16.98%,9.19%,14.10%,24.95%,--,9.19%,12.17%,--,--,0,,
71,165707,诺德深证300,https://jingzhifunds.hexun.com/165707.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=165707,"https://jijinba.hexun.com/165707,jijinba.html",0.9110,07-01,5.32%,16.79%,9.12%,16.60%,10.51%,-3.80%,9.12%,44.65%,4折,0.60%,1,https://emall.licaike.com/fund/purchase/FirstLoad.action?fundCode=165707&knownChannel=hexun_jjjz_goumai,https://emall.licaike.com/fund/fundplan/InitAdd.action?fundCode=165707&knownChannel=hexun_jjjz_dinggou
72,001317,东方赢家保本混合,https://jingzhifunds.hexun.com/001317.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=001317,"https://jijinba.hexun.com/001317,jijinba.html",1.2618,10-14,16.76%,16.76%,16.76%,16.76%,16.76%,16.76%,16.76%,26.18%,--,--,0,,
73,004146,上投安泽回报混合A,https://jingzhifunds.hexun.com/004146.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=004146,"https://jijinba.hexun.com/004146,jijinba.html",1.2295,10-29,13.17%,16.30%,16.54%,16.85%,--,--,15.97%,22.93%,--,--,0,,
74,164821,工银瑞信新能源,https://jingzhifunds.hexun.com/164821.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=164821,"https://jijinba.hexun.com/164821,jijinba.html",1.2581,10-19,6.72%,16.06%,45.68%,66.09%,94.02%,10.64%,50.08%,-7.97%,6折,0.60%,1,https://emall.licaike.com/fund/purchase/FirstLoad.action?fundCode=164821&knownChannel=hexun_jjjz_goumai,https://emall.licaike.com/fund/fundplan/InitAdd.action?fundCode=164821&knownChannel=hexun_jjjz_dinggou
75,002848,农银汇理纯债一年债券,https://jingzhifunds.hexun.com/002848.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=002848,"https://jijinba.hexun.com/002848,jijinba.html",1.1426,07-26,0.37%,16.05%,15.50%,13.98%,--,--,15.73%,14.26%,--,--,0,,
76,002950,华安丰利18个月债券,https://jingzhifunds.hexun.com/002950.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=002950,"https://jijinba.hexun.com/002950,jijinba.html",1.1585,06-22,14.60%,15.41%,--,--,--,--,--,15.85%,--,--,0,,
77,003332,南方荣发定开混合,https://jingzhifunds.hexun.com/003332.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=003332,"https://jijinba.hexun.com/003332,jijinba.html",1.4070,06-04,5.95%,15.33%,12.65%,22.24%,27.68%,33.75%,13.01%,40.70%,--,--,0,,
78,002180,中银移动互联混合,https://jingzhifunds.hexun.com/002180.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=002180,"https://jijinba.hexun.com/002180,jijinba.html",1.8770,06-15,2.46%,15.30%,8.88%,50.89%,130.03%,112.81%,1.46%,87.70%,--,--,0,,
79,160923,大成海外中国机会混合,https://jingzhifunds.hexun.com/160923.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=160923,"https://jijinba.hexun.com/160923,jijinba.html",1.6200,02-09,6.72%,15.22%,21.71%,34.11%,48.90%,43.75%,8.51%,62.01%,4折,0.60%,3,https://emall.licaike.com/fund/purchase/FirstLoad.action?fundCode=160923&knownChannel=hexun_jjjz_goumai,
80,005414,创金合信国证A股指数,https://jingzhifunds.hexun.com/005414.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=005414,"https://jijinba.hexun.com/005414,jijinba.html",1.0778,07-01,7.15%,15.21%,9.72%,13.48%,24.17%,--,9.72%,7.78%,--,--,0,,
81,005415,创金合信国证A股指数,https://jingzhifunds.hexun.com/005415.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=005415,"https://jijinba.hexun.com/005415,jijinba.html",1.0690,07-01,7.12%,15.16%,9.62%,13.19%,23.31%,--,9.62%,6.90%,--,--,0,,
82,004685,金元顺安元启混合,https://jingzhifunds.hexun.com/004685.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=004685,"https://jijinba.hexun.com/004685,jijinba.html",2.5038,01-27,-1.65%,14.60%,21.73%,44.09%,104.71%,129.83%,-3.45%,150.38%,--,--,0,,
83,003409,景顺景颐盛利债券A,https://jingzhifunds.hexun.com/003409.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=003409,"https://jijinba.hexun.com/003409,jijinba.html",1.1580,09-28,-0.22%,14.24%,14.47%,15.05%,--,--,14.29%,15.80%,--,--,0,,
84,502022,国金上证50分级B,https://jingzhifunds.hexun.com/502022.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=502022,"https://jijinba.hexun.com/502022,jijinba.html",1.1070,10-10,-1.60%,14.24%,9.72%,47.60%,21.57%,74.63%,87.95%,-69.64%,--,--,0,,
